"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5547","should open AutoComplete form and interact with input","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","5204","should display the input form correctly","Login Tests (AutoComplete Form)","2026-05-29","passed","2026-05-29","","","",""
"","4596","should toggle switch preference","Form Validation Tests","2026-05-29","passed","2026-05-29","","","",""
"","2590","should verify app can be restarted","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","1438","should launch the app and display main screen","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","2978","should navigate back from subcategory to main screen","Navigation Tests","2026-05-29","passed","2026-05-29","","","",""
"","1537","should verify all main categories are present","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","3920","should handle app restart and restore state","Negative Tests","2026-05-29","passed","2026-05-29","","","",""
"","13038","should enter text in edit text preference dialog","Form Validation Tests","2026-05-29","passed","2026-05-29","","","",""
"","3528","should handle rapid back navigation without crash","Negative Tests","2026-05-29","passed","2026-05-29","","","",""
"","6046","should show autocomplete suggestions","Login Tests (AutoComplete Form)","2026-05-29","passed","2026-05-29","","","",""
"","2301","should navigate to Views and display subcategories","Navigation Tests","2026-05-29","passed","2026-05-29","","","",""
"","1902","should display main categories on home screen","Navigation Tests","2026-05-29","passed","2026-05-29","","","",""
"","4102","should navigate through deep hierarchy: Views > Auto Complete","Navigation Tests","2026-05-29","passed","2026-05-29","","","",""
"","6091","should move focus with Give me Focus button","Login Tests (AutoComplete Form)","2026-05-29","passed","2026-05-29","","","",""
"","4138","should open Preferences and toggle checkbox","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","7324","should clear the input field","Login Tests (AutoComplete Form)","2026-05-29","passed","2026-05-29","","","",""
"","2289","should navigate to App and display subcategories","Navigation Tests","2026-05-29","passed","2026-05-29","","","",""
"","12839","should cancel edit text dialog without saving","Form Validation Tests","2026-05-29","passed","2026-05-29","","","",""
"","5635","should handle special characters in input","Negative Tests","2026-05-29","passed","2026-05-29","","","",""
"","1389","should handle non-existent category gracefully","Negative Tests","2026-05-29","passed","2026-05-29","","","",""
"","2791","should navigate to Views and back","Smoke Suite","2026-05-29","passed","2026-05-29","","","",""
"","8474","should toggle checkbox preference on and off","Form Validation Tests","2026-05-29","passed","2026-05-29","","","",""
"","4585","should handle empty input in autocomplete field","Negative Tests","2026-05-29","passed","2026-05-29","","","",""
"","5162","should open list preference dialog","Form Validation Tests","2026-05-29","passed","2026-05-29","","","",""
"","6237","should accept text input in the form field","Login Tests (AutoComplete Form)","2026-05-29","passed","2026-05-29","","","",""
